"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Average Annual Dollars per Person Spent on Medical Care","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"County","Coosa","AL","01037","=""01037""","1230","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Covington","AL","01039","=""01039""","1120","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Crenshaw","AL","01041","=""01041""","1100","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Cullman","AL","01043","=""01043""","1110","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Dale","AL","01045","=""01045""","1100","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Dallas","AL","01047","=""01047""","1000","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","DeKalb","AL","01049","=""01049""","1030","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Elmore","AL","01051","=""01051""","1130","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Escambia","AL","01053","=""01053""","1040","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Etowah","AL","01055","=""01055""","1120","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Fayette","AL","01057","=""01057""","1140","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Franklin","AL","01059","=""01059""","990","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Geneva","AL","01061","=""01061""","1080","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Greene","AL","01063","=""01063""","1070","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Hale","AL","01065","=""01065""","1040","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Henry","AL","01067","=""01067""","1170","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Houston","AL","01069","=""01069""","1050","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Jackson","AL","01071","=""01071""","1120","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Jefferson","AL","01073","=""01073""","1050","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Lamar","AL","01075","=""01075""","1070","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Lauderdale","AL","01077","=""01077""","1180","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Lawrence","AL","01079","=""01079""","1090","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Lee","AL","01081","=""01081""","1050","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Limestone","AL","01083","=""01083""","1140","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Lowndes","AL","01085","=""01085""","1020","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Macon","AL","01087","=""01087""","1080","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Madison","AL","01089","=""01089""","1140","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Marengo","AL","01091","=""01091""","1080","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Marion","AL","01093","=""01093""","1090","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Marshall","AL","01095","=""01095""","1050","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Mobile","AL","01097","=""01097""","1010","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Monroe","AL","01099","=""01099""","1050","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Montgomery","AL","01101","=""01101""","1030","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Morgan","AL","01103","=""01103""","1110","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Perry","AL","01105","=""01105""","980","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Pickens","AL","01107","=""01107""","1120","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Pike","AL","01109","=""01109""","1040","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Randolph","AL","01111","=""01111""","1160","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Russell","AL","01113","=""01113""","990","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","St. Clair","AL","01115","=""01115""","1090","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Shelby","AL","01117","=""01117""","1150","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Sumter","AL","01119","=""01119""","1000","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Talladega","AL","01121","=""01121""","1100","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Tallapoosa","AL","01123","=""01123""","1130","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Tuscaloosa","AL","01125","=""01125""","1030","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Walker","AL","01127","=""01127""","1130","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Washington","AL","01129","=""01129""","1120","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Wilcox","AL","01131","=""01131""","990","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Winston","AL","01133","=""01133""","1140","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Aleutians East","AK","02013","=""02013""","880","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Aleutians West","AK","02016","=""02016""","920","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Anchorage","AK","02020","=""02020""","1010","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Bethel","AK","02050","=""02050""","610","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Bristol Bay","AK","02060","=""02060""","960","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Chugach","AK","02063","=""02063""","1020","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Copper River","AK","02066","=""02066""","1020","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Denali","AK","02068","=""02068""","1220","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Dillingham","AK","02070","=""02070""","700","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Fairbanks North Star","AK","02090","=""02090""","1050","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Haines","AK","02100","=""02100""","1120","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Hoonah-Angoon","AK","02105","=""02105""","1100","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Juneau","AK","02110","=""02110""","1140","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Kenai Peninsula","AK","02122","=""02122""","1060","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Ketchikan Gateway","AK","02130","=""02130""","1120","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Kodiak Island","AK","02150","=""02150""","950","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Kusilvak","AK","02158","=""02158""","510","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Lake and Peninsula","AK","02164","=""02164""","690","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Matanuska-Susitna","AK","02170","=""02170""","990","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Nome","AK","02180","=""02180""","670","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","North Slope","AK","02185","=""02185""","930","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Northwest Arctic","AK","02188","=""02188""","670","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Petersburg","AK","02195","=""02195""","1220","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Prince of Wales-Hyder","AK","02198","=""02198""","980","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Sitka","AK","02220","=""02220""","1120","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Skagway","AK","02230","=""02230""","1120","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Southeast Fairbanks","AK","02240","=""02240""","930","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Wrangell","AK","02275","=""02275""","1150","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Yakutat","AK","02282","=""02282""","1150","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Yukon-Koyukuk","AK","02290","=""02290""","840","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Apache","AZ","04001","=""04001""","780","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Cochise","AZ","04003","=""04003""","1200","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Coconino","AZ","04005","=""04005""","970","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Gila","AZ","04007","=""04007""","1230","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Graham","AZ","04009","=""04009""","950","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Greenlee","AZ","04011","=""04011""","1070","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","La Paz","AZ","04012","=""04012""","1430","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Maricopa","AZ","04013","=""04013""","1020","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Mohave","AZ","04015","=""04015""","1290","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Navajo","AZ","04017","=""04017""","940","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Pima","AZ","04019","=""04019""","1090","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Pinal","AZ","04021","=""04021""","1120","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Santa Cruz","AZ","04023","=""04023""","880","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Yavapai","AZ","04025","=""04025""","1370","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Yuma","AZ","04027","=""04027""","1020","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Arkansas","AR","05001","=""05001""","1040","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Ashley","AR","05003","=""05003""","1010","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Baxter","AR","05005","=""05005""","1280","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Benton","AR","05007","=""05007""","990","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Boone","AR","05009","=""05009""","1090","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Bradley","AR","05011","=""05011""","980","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Calhoun","AR","05013","=""05013""","1020","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Carroll","AR","05015","=""05015""","1090","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Chicot","AR","05017","=""05017""","980","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Clark","AR","05019","=""05019""","980","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Clay","AR","05021","=""05021""","1100","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Cleburne","AR","05023","=""05023""","1230","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Cleveland","AR","05025","=""05025""","1050","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Columbia","AR","05027","=""05027""","980","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Conway","AR","05029","=""05029""","1010","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Craighead","AR","05031","=""05031""","940","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Crawford","AR","05033","=""05033""","990","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Crittenden","AR","05035","=""05035""","860","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Cross","AR","05037","=""05037""","940","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Dallas","AR","05039","=""05039""","1120","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Desha","AR","05041","=""05041""","950","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Drew","AR","05043","=""05043""","1000","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Faulkner","AR","05045","=""05045""","1010","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Franklin","AR","05047","=""05047""","1000","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Fulton","AR","05049","=""05049""","1090","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Garland","AR","05051","=""05051""","1150","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Grant","AR","05053","=""05053""","1090","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Greene","AR","05055","=""05055""","960","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Hempstead","AR","05057","=""05057""","950","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Hot Spring","AR","05059","=""05059""","1020","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Howard","AR","05061","=""05061""","1000","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Independence","AR","05063","=""05063""","970","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Izard","AR","05065","=""05065""","1120","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Jackson","AR","05067","=""05067""","920","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Jefferson","AR","05069","=""05069""","1010","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Johnson","AR","05071","=""05071""","980","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Lafayette","AR","05073","=""05073""","1040","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Lawrence","AR","05075","=""05075""","960","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Lee","AR","05077","=""05077""","970","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Lincoln","AR","05079","=""05079""","1070","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Little River","AR","05081","=""05081""","1150","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Logan","AR","05083","=""05083""","1060","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Lonoke","AR","05085","=""05085""","1030","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Madison","AR","05087","=""05087""","1010","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Marion","AR","05089","=""05089""","1250","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Miller","AR","05091","=""05091""","960","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Mississippi","AR","05093","=""05093""","900","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Monroe","AR","05095","=""05095""","1060","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Montgomery","AR","05097","=""05097""","1210","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Nevada","AR","05099","=""05099""","990","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Newton","AR","05101","=""05101""","1200","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Ouachita","AR","05103","=""05103""","1030","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Perry","AR","05105","=""05105""","1090","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Phillips","AR","05107","=""05107""","920","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Pike","AR","05109","=""05109""","1080","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Poinsett","AR","05111","=""05111""","910","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Polk","AR","05113","=""05113""","1090","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Pope","AR","05115","=""05115""","1000","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Prairie","AR","05117","=""05117""","1120","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Pulaski","AR","05119","=""05119""","1030","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Randolph","AR","05121","=""05121""","970","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","St. Francis","AR","05123","=""05123""","930","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Saline","AR","05125","=""05125""","1130","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Scott","AR","05127","=""05127""","1050","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Searcy","AR","05129","=""05129""","1050","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Sebastian","AR","05131","=""05131""","970","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Sevier","AR","05133","=""05133""","900","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Sharp","AR","05135","=""05135""","1110","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Stone","AR","05137","=""05137""","1020","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Union","AR","05139","=""05139""","1040","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Van Buren","AR","05141","=""05141""","1150","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Washington","AR","05143","=""05143""","950","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","White","AR","05145","=""05145""","1000","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Woodruff","AR","05147","=""05147""","1020","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Yell","AR","05149","=""05149""","1010","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Alameda","CA","06001","=""06001""","1050","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Alpine","CA","06003","=""06003""","1170","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Amador","CA","06005","=""06005""","1330","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Butte","CA","06007","=""06007""","1050","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Calaveras","CA","06009","=""06009""","1270","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Colusa","CA","06011","=""06011""","930","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Contra Costa","CA","06013","=""06013""","1100","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Del Norte","CA","06015","=""06015""","1050","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","El Dorado","CA","06017","=""06017""","1270","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Fresno","CA","06019","=""06019""","860","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Glenn","CA","06021","=""06021""","940","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Humboldt","CA","06023","=""06023""","1050","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Imperial","CA","06025","=""06025""","770","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Inyo","CA","06027","=""06027""","1170","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Kern","CA","06029","=""06029""","820","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Kings","CA","06031","=""06031""","840","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Lake","CA","06033","=""06033""","1070","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Lassen","CA","06035","=""06035""","1110","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Los Angeles","CA","06037","=""06037""","920","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Madera","CA","06039","=""06039""","890","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Marin","CA","06041","=""06041""","1280","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Mariposa","CA","06043","=""06043""","1270","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Mendocino","CA","06045","=""06045""","1030","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Merced","CA","06047","=""06047""","810","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Modoc","CA","06049","=""06049""","1120","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Mono","CA","06051","=""06051""","1100","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Monterey","CA","06053","=""06053""","930","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Napa","CA","06055","=""06055""","1160","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Nevada","CA","06057","=""06057""","1290","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Orange","CA","06059","=""06059""","1020","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Placer","CA","06061","=""06061""","1220","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Plumas","CA","06063","=""06063""","1310","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Riverside","CA","06065","=""06065""","940","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Sacramento","CA","06067","=""06067""","1020","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","San Benito","CA","06069","=""06069""","990","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","San Bernardino","CA","06071","=""06071""","870","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","San Diego","CA","06073","=""06073""","1020","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","San Francisco","CA","06075","=""06075""","1110","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","San Joaquin","CA","06077","=""06077""","920","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","San Luis Obispo","CA","06079","=""06079""","1210","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","San Mateo","CA","06081","=""06081""","1140","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Santa Barbara","CA","06083","=""06083""","1020","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Santa Clara","CA","06085","=""06085""","1050","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Santa Cruz","CA","06087","=""06087""","1110","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Shasta","CA","06089","=""06089""","1110","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Sierra","CA","06091","=""06091""","1260","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Siskiyou","CA","06093","=""06093""","1160","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Solano","CA","06095","=""06095""","1110","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Sonoma","CA","06097","=""06097""","1180","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Stanislaus","CA","06099","=""06099""","900","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Sutter","CA","06101","=""06101""","960","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Tehama","CA","06103","=""06103""","1030","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Trinity","CA","06105","=""06105""","1130","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Tulare","CA","06107","=""06107""","770","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Tuolumne","CA","06109","=""06109""","1270","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Ventura","CA","06111","=""06111""","1040","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Yolo","CA","06113","=""06113""","1020","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Yuba","CA","06115","=""06115""","920","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Adams","CO","08001","=""08001""","920","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Alamosa","CO","08003","=""08003""","910","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Arapahoe","CO","08005","=""08005""","1020","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Archuleta","CO","08007","=""08007""","1180","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Baca","CO","08009","=""08009""","1090","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Bent","CO","08011","=""08011""","1100","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Boulder","CO","08013","=""08013""","1110","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Broomfield","CO","08014","=""08014""","1110","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Chaffee","CO","08015","=""08015""","1280","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Cheyenne","CO","08017","=""08017""","1150","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Clear Creek","CO","08019","=""08019""","1190","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Conejos","CO","08021","=""08021""","1000","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Costilla","CO","08023","=""08023""","1140","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Crowley","CO","08025","=""08025""","900","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Custer","CO","08027","=""08027""","1360","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Delta","CO","08029","=""08029""","1160","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Denver","CO","08031","=""08031""","960","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Dolores","CO","08033","=""08033""","1450","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Douglas","CO","08035","=""08035""","1100","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Eagle","CO","08037","=""08037""","1050","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Elbert","CO","08039","=""08039""","1190","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","El Paso","CO","08041","=""08041""","1040","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Fremont","CO","08043","=""08043""","1160","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Garfield","CO","08045","=""08045""","940","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Gilpin","CO","08047","=""08047""","1130","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Grand","CO","08049","=""08049""","1150","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Gunnison","CO","08051","=""08051""","1070","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Hinsdale","CO","08053","=""08053""","1340","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Huerfano","CO","08055","=""08055""","1210","2022","2022","PolicyMap and Quantitative Innovations","United States"
